学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
NEUROSCIENCE & BEHAVIOR,CHINESE ACADEMY OF SCIENCES,71,6260,139690,22.310
NEUROSCIENCE & BEHAVIOR,CAPITAL MEDICAL UNIVERSITY,77,7180,131795,18.360
NEUROSCIENCE & BEHAVIOR,FUDAN UNIVERSITY,141,4471,90962,20.340
NEUROSCIENCE & BEHAVIOR,SHANGHAI JIAO TONG UNIVERSITY,143,4401,89650,20.370
NEUROSCIENCE & BEHAVIOR,PEKING UNIVERSITY,171,3721,76555,20.570
NEUROSCIENCE & BEHAVIOR,ZHEJIANG UNIVERSITY,187,3871,72038,18.610
NEUROSCIENCE & BEHAVIOR,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,232,2524,58735,23.270
NEUROSCIENCE & BEHAVIOR,NANJING MEDICAL UNIVERSITY,249,2993,54489,18.210
NEUROSCIENCE & BEHAVIOR,CENTRAL SOUTH UNIVERSITY,261,2708,52158,19.260
NEUROSCIENCE & BEHAVIOR,SUN YAT SEN UNIVERSITY,264,2982,51622,17.310
NEUROSCIENCE & BEHAVIOR,SICHUAN UNIVERSITY,270,3184,50676,15.920
NEUROSCIENCE & BEHAVIOR,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",292,2406,46896,19.490
NEUROSCIENCE & BEHAVIOR,CHONGQING MEDICAL UNIVERSITY,334,2069,40971,19.800
NEUROSCIENCE & BEHAVIOR,WUHAN UNIVERSITY,342,1381,39977,28.950
NEUROSCIENCE & BEHAVIOR,SOUTHERN MEDICAL UNIVERSITY - CHINA,345,2301,39796,17.300
NEUROSCIENCE & BEHAVIOR,BEIJING NORMAL UNIVERSITY,352,1899,39259,20.670
NEUROSCIENCE & BEHAVIOR,NANJING UNIVERSITY,369,1592,37845,23.770
NEUROSCIENCE & BEHAVIOR,ZHENGZHOU UNIVERSITY,372,2225,37457,16.830
NEUROSCIENCE & BEHAVIOR,TIANJIN MEDICAL UNIVERSITY,377,1778,36631,20.600
NEUROSCIENCE & BEHAVIOR,ARMY MEDICAL UNIVERSITY,379,1380,36513,26.460
NEUROSCIENCE & BEHAVIOR,CHINESE ACADEMY OF MEDICAL SCIENCES - PEKING UNION MEDICAL COLLEGE,383,2282,36293,15.900
NEUROSCIENCE & BEHAVIOR,XI'AN JIAOTONG UNIVERSITY,409,1844,34390,18.650
NEUROSCIENCE & BEHAVIOR,SOOCHOW UNIVERSITY - CHINA,419,1970,33036,16.770
NEUROSCIENCE & BEHAVIOR,SHANDONG UNIVERSITY,435,1981,31467,15.880
NEUROSCIENCE & BEHAVIOR,CHINA MEDICAL UNIVERSITY,442,1593,31124,19.540
NEUROSCIENCE & BEHAVIOR,UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA,447,1545,30521,19.750
NEUROSCIENCE & BEHAVIOR,AIR FORCE MEDICAL UNIVERSITY,464,1563,29617,18.950
NEUROSCIENCE & BEHAVIOR,TSINGHUA UNIVERSITY,477,1198,28124,23.480
NEUROSCIENCE & BEHAVIOR,NANTONG UNIVERSITY,487,1493,27465,18.400
NEUROSCIENCE & BEHAVIOR,QINGDAO UNIVERSITY,509,1436,26577,18.510
NEUROSCIENCE & BEHAVIOR,TONGJI UNIVERSITY,529,1463,25488,17.420
NEUROSCIENCE & BEHAVIOR,WENZHOU MEDICAL UNIVERSITY,537,1598,25202,15.770
NEUROSCIENCE & BEHAVIOR,JILIN UNIVERSITY,544,1274,24735,19.420
NEUROSCIENCE & BEHAVIOR,SHENZHEN UNIVERSITY,574,1189,22796,19.170
NEUROSCIENCE & BEHAVIOR,ANHUI MEDICAL UNIVERSITY,597,1398,21780,15.580
NEUROSCIENCE & BEHAVIOR,SOUTHEAST UNIVERSITY - CHINA,602,1163,21305,18.320
NEUROSCIENCE & BEHAVIOR,JINAN UNIVERSITY,606,1154,21232,18.400
NEUROSCIENCE & BEHAVIOR,"INSTITUTE OF PSYCHOLOGY, CAS",611,809,21048,26.020
NEUROSCIENCE & BEHAVIOR,GUANGZHOU MEDICAL UNIVERSITY,612,1296,20982,16.190
NEUROSCIENCE & BEHAVIOR,SOUTHWEST UNIVERSITY - CHINA,625,1078,20470,18.990
NEUROSCIENCE & BEHAVIOR,PEKING UNION MEDICAL COLLEGE,630,1359,20357,14.980
NEUROSCIENCE & BEHAVIOR,CHINESE PEOPLE'S LIBERATION ARMY GENERAL HOSPITAL,681,1182,18505,15.660
NEUROSCIENCE & BEHAVIOR,XUZHOU MEDICAL UNIVERSITY,693,1161,18211,15.690
NEUROSCIENCE & BEHAVIOR,SHANDONG FIRST MEDICAL UNIVERSITY & SHANDONG ACADEMY OF MEDICAL SCIENCES,700,1197,17937,14.980
NEUROSCIENCE & BEHAVIOR,"SHENZHEN INSTITUTE OF ADVANCED TECHNOLOGY, CAS",735,654,17112,26.170
NEUROSCIENCE & BEHAVIOR,NAVAL MEDICAL UNIVERSITY,740,895,16833,18.810
NEUROSCIENCE & BEHAVIOR,NANCHANG UNIVERSITY,742,1261,16817,13.340
NEUROSCIENCE & BEHAVIOR,HANGZHOU NORMAL UNIVERSITY,767,680,16294,23.960
NEUROSCIENCE & BEHAVIOR,FUJIAN MEDICAL UNIVERSITY,782,1249,15781,12.630
NEUROSCIENCE & BEHAVIOR,HARBIN MEDICAL UNIVERSITY,791,882,15529,17.610
NEUROSCIENCE & BEHAVIOR,"CENTER FOR EXCELLENCE IN BRAIN SCIENCE AND INTELLIGENCE TECHNOLOGY, CAS",792,683,15510,22.710
NEUROSCIENCE & BEHAVIOR,HEBEI MEDICAL UNIVERSITY,795,1143,15450,13.520
NEUROSCIENCE & BEHAVIOR,DALIAN MEDICAL UNIVERSITY,828,760,14791,19.460
NEUROSCIENCE & BEHAVIOR,"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",834,997,14635,14.680
NEUROSCIENCE & BEHAVIOR,XIAMEN UNIVERSITY,849,597,14345,24.030
NEUROSCIENCE & BEHAVIOR,EAST CHINA NORMAL UNIVERSITY,853,771,14295,18.540
NEUROSCIENCE & BEHAVIOR,SHANXI MEDICAL UNIVERSITY,854,900,14286,15.870
NEUROSCIENCE & BEHAVIOR,"INSTITUTE OF AUTOMATION, CAS",874,519,13683,26.360
NEUROSCIENCE & BEHAVIOR,KUNMING MEDICAL UNIVERSITY,908,742,12865,17.340
NEUROSCIENCE & BEHAVIOR,PEKING UNION MEDICAL COLLEGE HOSPITAL,926,773,12528,16.210
NEUROSCIENCE & BEHAVIOR,QINGDAO MUNICIPAL HOSPITAL,964,445,11831,26.590
NEUROSCIENCE & BEHAVIOR,GUANGZHOU UNIVERSITY OF CHINESE MEDICINE,1013,768,11042,14.380
NEUROSCIENCE & BEHAVIOR,NANJING UNIVERSITY OF CHINESE MEDICINE,1017,679,11015,16.220
NEUROSCIENCE & BEHAVIOR,SOUTH CHINA NORMAL UNIVERSITY,1022,853,10960,12.850
NEUROSCIENCE & BEHAVIOR,BEIJING UNIVERSITY OF CHINESE MEDICINE,1148,606,9254,15.270
NEUROSCIENCE & BEHAVIOR,CHINA PHARMACEUTICAL UNIVERSITY,1154,351,9222,26.270
NEUROSCIENCE & BEHAVIOR,NANKAI UNIVERSITY,1164,439,9137,20.810
NEUROSCIENCE & BEHAVIOR,BEIJING NEUROSURGICAL INSTITUTE,1168,422,9113,21.590
NEUROSCIENCE & BEHAVIOR,SOUTHWEST MEDICAL UNIVERSITY,1211,513,8718,16.990
NEUROSCIENCE & BEHAVIOR,SHANGHAI UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,1223,694,8568,12.350
NEUROSCIENCE & BEHAVIOR,BINZHOU MEDICAL UNIVERSITY,1261,382,8242,21.580
