区域,学科,上榜机构数
Africa,CLINICAL MEDICINE,133
Africa,ENGINEERING,105
Africa,"SOCIAL SCIENCES, GENERAL",73
Africa,ENVIRONMENT ECOLOGY,64
Africa,PLANT & ANIMAL SCIENCE,64
Africa,CHEMISTRY,63
Africa,AGRICULTURAL SCIENCES,50
Africa,PHARMACOLOGY & TOXICOLOGY,36
Africa,IMMUNOLOGY,35
Africa,MATERIALS SCIENCE,34
Africa,BIOLOGY & BIOCHEMISTRY,25
Africa,NEUROSCIENCE & BEHAVIOR,21
Africa,PHYSICS,18
Africa,GEOSCIENCES,12
Africa,MICROBIOLOGY,12
Africa,PSYCHIATRY PSYCHOLOGY,12
Africa,COMPUTER SCIENCE,9
Africa,MOLECULAR BIOLOGY & GENETICS,6
Africa,ECONOMICS & BUSINESS,4
Africa,MATHEMATICS,4
Africa,MULTIDISCIPLINARY,1
Africa,SPACE SCIENCE,1
Asia,ENGINEERING,1315
Asia,CLINICAL MEDICINE,1184
Asia,CHEMISTRY,931
Asia,MATERIALS SCIENCE,740
Asia,ENVIRONMENT ECOLOGY,660
Asia,PLANT & ANIMAL SCIENCE,571
Asia,"SOCIAL SCIENCES, GENERAL",535
Asia,AGRICULTURAL SCIENCES,484
Asia,PHARMACOLOGY & TOXICOLOGY,458
Asia,BIOLOGY & BIOCHEMISTRY,455
Asia,COMPUTER SCIENCE,348
Asia,GEOSCIENCES,303
Asia,PHYSICS,284
Asia,NEUROSCIENCE & BEHAVIOR,248
Asia,MOLECULAR BIOLOGY & GENETICS,243
Asia,IMMUNOLOGY,219
Asia,MICROBIOLOGY,160
Asia,PSYCHIATRY PSYCHOLOGY,139
Asia,MATHEMATICS,129
Asia,ECONOMICS & BUSINESS,86
Asia,MULTIDISCIPLINARY,29
Asia,SPACE SCIENCE,20
Europe,CLINICAL MEDICINE,1661
Europe,"SOCIAL SCIENCES, GENERAL",821
Europe,ENGINEERING,734
Europe,ENVIRONMENT ECOLOGY,691
Europe,PLANT & ANIMAL SCIENCE,678
Europe,CHEMISTRY,660
Europe,BIOLOGY & BIOCHEMISTRY,626
Europe,NEUROSCIENCE & BEHAVIOR,498
Europe,PHARMACOLOGY & TOXICOLOGY,486
Europe,MOLECULAR BIOLOGY & GENETICS,473
Europe,IMMUNOLOGY,471
Europe,AGRICULTURAL SCIENCES,456
Europe,MATERIALS SCIENCE,451
Europe,GEOSCIENCES,449
Europe,PSYCHIATRY PSYCHOLOGY,441
Europe,PHYSICS,392
Europe,MICROBIOLOGY,312
Europe,COMPUTER SCIENCE,232
Europe,ECONOMICS & BUSINESS,222
Europe,MATHEMATICS,141
Europe,SPACE SCIENCE,113
Europe,MULTIDISCIPLINARY,75
North America,CLINICAL MEDICINE,1088
North America,"SOCIAL SCIENCES, GENERAL",701
North America,PSYCHIATRY PSYCHOLOGY,429
North America,BIOLOGY & BIOCHEMISTRY,416
North America,ENVIRONMENT ECOLOGY,416
North America,ENGINEERING,396
North America,NEUROSCIENCE & BEHAVIOR,388
North America,PLANT & ANIMAL SCIENCE,379
North America,MOLECULAR BIOLOGY & GENETICS,364
North America,CHEMISTRY,353
North America,IMMUNOLOGY,340
North America,PHARMACOLOGY & TOXICOLOGY,304
North America,GEOSCIENCES,301
North America,MATERIALS SCIENCE,277
North America,MICROBIOLOGY,255
North America,PHYSICS,242
North America,AGRICULTURAL SCIENCES,213
North America,COMPUTER SCIENCE,212
North America,ECONOMICS & BUSINESS,197
North America,MULTIDISCIPLINARY,103
North America,MATHEMATICS,100
North America,SPACE SCIENCE,85
Oceania,CLINICAL MEDICINE,235
Oceania,"SOCIAL SCIENCES, GENERAL",107
Oceania,PLANT & ANIMAL SCIENCE,69
Oceania,ENVIRONMENT ECOLOGY,68
Oceania,PSYCHIATRY PSYCHOLOGY,68
Oceania,NEUROSCIENCE & BEHAVIOR,61
Oceania,IMMUNOLOGY,59
Oceania,ENGINEERING,54
Oceania,AGRICULTURAL SCIENCES,53
Oceania,BIOLOGY & BIOCHEMISTRY,50
Oceania,GEOSCIENCES,48
Oceania,MOLECULAR BIOLOGY & GENETICS,44
Oceania,CHEMISTRY,39
Oceania,PHARMACOLOGY & TOXICOLOGY,39
Oceania,MATERIALS SCIENCE,34
Oceania,COMPUTER SCIENCE,29
Oceania,MICROBIOLOGY,29
Oceania,ECONOMICS & BUSINESS,26
Oceania,PHYSICS,15
Oceania,SPACE SCIENCE,9
Oceania,MATHEMATICS,6
Oceania,MULTIDISCIPLINARY,5
South America,CLINICAL MEDICINE,158
South America,PLANT & ANIMAL SCIENCE,108
South America,ENVIRONMENT ECOLOGY,89
South America,AGRICULTURAL SCIENCES,75
South America,ENGINEERING,69
South America,"SOCIAL SCIENCES, GENERAL",63
South America,CHEMISTRY,48
South America,PHARMACOLOGY & TOXICOLOGY,30
South America,BIOLOGY & BIOCHEMISTRY,29
South America,GEOSCIENCES,29
South America,NEUROSCIENCE & BEHAVIOR,24
South America,PHYSICS,22
South America,IMMUNOLOGY,21
South America,PSYCHIATRY PSYCHOLOGY,19
South America,MICROBIOLOGY,17
South America,MATERIALS SCIENCE,14
South America,MOLECULAR BIOLOGY & GENETICS,12
South America,COMPUTER SCIENCE,9
South America,MATHEMATICS,5
South America,SPACE SCIENCE,4
South America,ECONOMICS & BUSINESS,2
South America,MULTIDISCIPLINARY,1
其他,CLINICAL MEDICINE,2295
其他,ENGINEERING,114
其他,"SOCIAL SCIENCES, GENERAL",107
其他,PLANT & ANIMAL SCIENCE,81
其他,ENVIRONMENT ECOLOGY,78
其他,NEUROSCIENCE & BEHAVIOR,58
其他,AGRICULTURAL SCIENCES,50
其他,BIOLOGY & BIOCHEMISTRY,48
其他,CHEMISTRY,47
其他,PSYCHIATRY PSYCHOLOGY,39
其他,PHARMACOLOGY & TOXICOLOGY,36
其他,GEOSCIENCES,33
其他,IMMUNOLOGY,32
其他,MATERIALS SCIENCE,30
其他,MOLECULAR BIOLOGY & GENETICS,27
其他,COMPUTER SCIENCE,24
其他,PHYSICS,22
其他,MICROBIOLOGY,18
其他,MATHEMATICS,10
其他,ECONOMICS & BUSINESS,6
其他,SPACE SCIENCE,4
其他,MULTIDISCIPLINARY,2
