学科,区域,入榜机构数,截尾平均排名,最高排名,最低排名
AGRICULTURAL SCIENCES,Oceania,53,579.83,25,1378
AGRICULTURAL SCIENCES,North America,213,591.41,3,1380
AGRICULTURAL SCIENCES,Europe,456,678.9,5,1373
AGRICULTURAL SCIENCES,South America,75,682.14,19,1331
AGRICULTURAL SCIENCES,Asia,484,719.76,1,1381
AGRICULTURAL SCIENCES,Africa,50,842.0,14,1375
AGRICULTURAL SCIENCES,其他,50,893.6,43,1354
BIOLOGY & BIOCHEMISTRY,North America,416,639.92,1,1647
BIOLOGY & BIOCHEMISTRY,Oceania,50,801.1,50,1627
BIOLOGY & BIOCHEMISTRY,Europe,626,834.32,4,1648
BIOLOGY & BIOCHEMISTRY,South America,29,858.26,74,1628
BIOLOGY & BIOCHEMISTRY,Asia,455,941.82,3,1649
BIOLOGY & BIOCHEMISTRY,Africa,25,979.0,32,1642
BIOLOGY & BIOCHEMISTRY,其他,48,1077.13,7,1645
CHEMISTRY,Oceania,39,912.65,88,2022
CHEMISTRY,North America,353,924.82,3,2140
CHEMISTRY,Europe,660,1053.25,2,2141
CHEMISTRY,Asia,931,1095.77,1,2139
CHEMISTRY,South America,48,1336.68,146,2083
CHEMISTRY,Africa,63,1362.06,10,2133
CHEMISTRY,其他,47,1372.0,98,2137
CLINICAL MEDICINE,North America,664,1254.31,1,2997
CLINICAL MEDICINE,Europe,1029,1328.29,4,2992
CLINICAL MEDICINE,Oceania,150,1373.79,31,2838
CLINICAL MEDICINE,Africa,72,1463.2,152,2974
CLINICAL MEDICINE,Asia,647,1569.66,75,2999
CLINICAL MEDICINE,South America,71,1727.27,95,2976
CLINICAL MEDICINE,其他,367,2247.55,10,3000
COMPUTER SCIENCE,Oceania,29,268.91,25,820
COMPUTER SCIENCE,North America,212,403.53,3,849
COMPUTER SCIENCE,Asia,348,418.54,1,861
COMPUTER SCIENCE,Africa,9,469.57,29,823
COMPUTER SCIENCE,Europe,232,477.03,8,863
COMPUTER SCIENCE,其他,24,507.11,51,774
COMPUTER SCIENCE,South America,9,656.71,247,858
ECONOMICS & BUSINESS,Oceania,26,179.25,22,463
ECONOMICS & BUSINESS,North America,197,224.69,1,543
ECONOMICS & BUSINESS,Asia,86,298.35,33,542
ECONOMICS & BUSINESS,Europe,222,304.12,3,540
ECONOMICS & BUSINESS,Africa,4,415.5,196,482
ECONOMICS & BUSINESS,其他,6,449.0,240,522
ENGINEERING,Oceania,54,906.93,47,2751
ENGINEERING,North America,396,1071.32,6,2772
ENGINEERING,Europe,734,1392.17,5,2784
ENGINEERING,Asia,1315,1414.87,1,2786
ENGINEERING,Africa,105,1610.6,10,2765
ENGINEERING,South America,69,1801.36,218,2760
ENGINEERING,其他,114,2035.12,82,2781
ENVIRONMENT ECOLOGY,Oceania,68,715.61,15,1994
ENVIRONMENT ECOLOGY,North America,416,819.08,2,2060
ENVIRONMENT ECOLOGY,Europe,691,943.69,3,2066
ENVIRONMENT ECOLOGY,Asia,660,1187.77,1,2065
ENVIRONMENT ECOLOGY,South America,89,1247.37,64,2049
ENVIRONMENT ECOLOGY,Africa,64,1354.48,34,2047
ENVIRONMENT ECOLOGY,其他,78,1375.97,55,2048
GEOSCIENCES,North America,301,484.1,3,1167
GEOSCIENCES,Oceania,48,560.82,46,1140
GEOSCIENCES,Europe,449,592.58,2,1166
GEOSCIENCES,Asia,303,645.14,1,1174
GEOSCIENCES,其他,33,694.28,59,1171
GEOSCIENCES,Africa,12,814.0,180,1175
GEOSCIENCES,South America,29,837.96,161,1145
IMMUNOLOGY,North America,340,508.42,2,1175
IMMUNOLOGY,Europe,471,559.75,5,1175
IMMUNOLOGY,Oceania,59,639.36,24,1163
IMMUNOLOGY,Asia,219,687.67,36,1175
IMMUNOLOGY,South America,21,692.93,99,1159
IMMUNOLOGY,Africa,35,769.22,90,1143
IMMUNOLOGY,其他,32,781.17,1,1171
MATERIALS SCIENCE,Oceania,34,513.5,85,1559
MATERIALS SCIENCE,North America,277,647.44,2,1570
MATERIALS SCIENCE,Asia,740,784.64,1,1578
MATERIALS SCIENCE,Europe,451,860.98,6,1579
MATERIALS SCIENCE,其他,30,949.21,172,1576
MATERIALS SCIENCE,South America,14,957.0,334,1573
MATERIALS SCIENCE,Africa,34,1124.73,40,1580
MATHEMATICS,North America,100,149.84,2,391
MATHEMATICS,Asia,129,197.67,4,393
MATHEMATICS,Africa,4,220.5,5,276
MATHEMATICS,Europe,141,222.53,1,395
MATHEMATICS,其他,10,241.75,15,359
MATHEMATICS,South America,5,285.67,92,372
MATHEMATICS,Oceania,6,296.0,132,378
MICROBIOLOGY,North America,255,325.78,1,803
MICROBIOLOGY,Europe,312,414.48,4,801
MICROBIOLOGY,South America,17,451.54,51,725
MICROBIOLOGY,其他,18,459.29,2,747
MICROBIOLOGY,Asia,160,464.23,3,797
MICROBIOLOGY,Oceania,29,466.0,37,782
MICROBIOLOGY,Africa,12,538.25,41,792
MOLECULAR BIOLOGY & GENETICS,North America,364,484.07,1,1168
MOLECULAR BIOLOGY & GENETICS,Europe,473,584.24,10,1166
MOLECULAR BIOLOGY & GENETICS,Oceania,44,641.29,54,1132
MOLECULAR BIOLOGY & GENETICS,Asia,243,686.82,13,1169
MOLECULAR BIOLOGY & GENETICS,South America,12,758.88,224,1046
MOLECULAR BIOLOGY & GENETICS,其他,27,786.05,8,1160
MOLECULAR BIOLOGY & GENETICS,Africa,6,841.25,346,1054
MULTIDISCIPLINARY,North America,103,92.09,1,213
MULTIDISCIPLINARY,Oceania,5,103.67,83,157
MULTIDISCIPLINARY,Europe,75,120.75,5,214
MULTIDISCIPLINARY,Asia,29,136.26,3,216
NEUROSCIENCE & BEHAVIOR,North America,388,534.03,1,1293
NEUROSCIENCE & BEHAVIOR,Europe,498,615.96,3,1293
NEUROSCIENCE & BEHAVIOR,Oceania,61,625.72,29,1232
NEUROSCIENCE & BEHAVIOR,Asia,248,779.94,71,1298
NEUROSCIENCE & BEHAVIOR,South America,24,822.0,114,1281
NEUROSCIENCE & BEHAVIOR,Africa,21,827.2,231,1220
NEUROSCIENCE & BEHAVIOR,其他,58,951.65,9,1297
PHARMACOLOGY & TOXICOLOGY,North America,304,599.8,2,1385
PHARMACOLOGY & TOXICOLOGY,Europe,486,702.16,5,1389
PHARMACOLOGY & TOXICOLOGY,Oceania,39,716.74,24,1295
PHARMACOLOGY & TOXICOLOGY,Asia,458,724.9,4,1387
PHARMACOLOGY & TOXICOLOGY,Africa,36,744.93,1,1333
PHARMACOLOGY & TOXICOLOGY,South America,30,794.67,44,1367
PHARMACOLOGY & TOXICOLOGY,其他,36,844.61,3,1339
PHYSICS,North America,242,429.07,3,982
PHYSICS,Europe,392,448.26,2,995
PHYSICS,Oceania,15,484.73,152,893
PHYSICS,South America,22,569.31,182,987
PHYSICS,Asia,284,586.89,1,993
PHYSICS,Africa,18,711.36,68,959
PHYSICS,其他,22,722.88,107,994
PLANT & ANIMAL SCIENCE,Oceania,69,778.87,25,1897
PLANT & ANIMAL SCIENCE,North America,379,833.45,2,1941
PLANT & ANIMAL SCIENCE,Europe,678,907.4,3,1950
PLANT & ANIMAL SCIENCE,South America,108,1029.45,20,1943
PLANT & ANIMAL SCIENCE,Africa,64,1051.32,10,1918
PLANT & ANIMAL SCIENCE,Asia,571,1092.84,1,1942
PLANT & ANIMAL SCIENCE,其他,81,1385.32,34,1940
PSYCHIATRY PSYCHOLOGY,North America,429,480.24,2,1145
PSYCHIATRY PSYCHOLOGY,Oceania,68,545.7,18,1119
PSYCHIATRY PSYCHOLOGY,Europe,441,573.81,1,1146
PSYCHIATRY PSYCHOLOGY,Africa,12,729.13,235,1104
PSYCHIATRY PSYCHOLOGY,Asia,139,740.29,130,1144
PSYCHIATRY PSYCHOLOGY,其他,39,819.35,34,1147
PSYCHIATRY PSYCHOLOGY,South America,19,819.8,153,1076
"SOCIAL SCIENCES, GENERAL",North America,701,988.57,2,2401
"SOCIAL SCIENCES, GENERAL",Oceania,107,1056.44,24,2391
"SOCIAL SCIENCES, GENERAL",Europe,821,1128.19,1,2403
"SOCIAL SCIENCES, GENERAL",Africa,73,1421.32,137,2373
"SOCIAL SCIENCES, GENERAL",South America,63,1422.73,170,2335
"SOCIAL SCIENCES, GENERAL",Asia,535,1430.97,47,2406
"SOCIAL SCIENCES, GENERAL",其他,107,1805.01,11,2406
SPACE SCIENCE,North America,85,107.64,3,235
SPACE SCIENCE,Europe,113,114.87,1,233
SPACE SCIENCE,South America,4,148.0,26,167
SPACE SCIENCE,Asia,20,151.0,15,236
SPACE SCIENCE,其他,4,164.0,16,213
SPACE SCIENCE,Oceania,9,166.29,65,226
